,POI,hash_raw_address
224057,masjid jami alamin kela,masjid jami ala kelautan kel gading kelapa gading timur
224066,masjid roudlotul muslimin,masjid roudlotul muslimat kelud
224070,shree shree radha gobinda geeta ashram,shree shree radha gobinda geeta ash 
224071,merror internasional indonesia,merapi international indonesia gunung sahari selatan kemayoran
224079,zakiyah,zaki kaliangkrik
224107,amanda cv,amanah cv puri cilegon hijau 
224120,starko,sta gatot subroto tonja
224123,taman kanak kanak dharma wanita kaliboto,taman kanak kanak dharma wanita kali wahid hasyim 2 bandar lor mojoroto
224147,elyman,ely jombang
224157,badan pemeriksa keuangan republik indonesia perwakilan provinsi maluku,badan pemeriksa keuangan republik indonesia perwakilan provinsi malang laksa muda leo watti teluk ambon
224170,es kelapa muda,es kel muda abdullah daeng sirua panakkukang
224173,sriwijaya indah. cv,sriwijaya indah cv rw monggo notaris 125
224198,perumahan bmw safir srengat,perum bmw safir srengat loka sukorejo
224199,pt. qi agrofood,pt qi agro pratama ix 
224210,fanily,fan patrol nagari suka dame
224217,faluta shop,sultan agung fallah shop bantul
224225,toko mudi'ah,toko mudi ahmad yani 
224251,madrasah bani abdillah cikomara,madrasah bani abdi cikoneng raya cipanas warung ban banjar irigasi
224265,universitas andalas-fmipa,universitas andalas fmipa
224271,potong rambut bimbim,potong rambut bimbel luwang
224283,pasar manado,pasar man gang champ piss winangun ii
224295,toko bangunan hidup baru,toko bang hidup baru gang man dumai timur
224297,kantor desa serdangindah,kantor desa serdang ambarita simanindo
224316,masjid jami' nurrudin,masjid jami nurrudin kavling senju kabil
224343,sigsma,sigaol raya kedunglo pedan
224358,ez kacamata,ez kaca kopkar margahayu tengah
224360,berkah kangen water,berkah kantor water pepper sukarami
224363,jose ova photography,josenan ova photography rungkut asri xiv kali rungkut rungkut
224364,el khalifi store,el khalifah store karang mojo weru
224376,kids playland,kids play mayora sutera cililitan kramat jati
224381,phillip securities indonesia,sunter jaya philips securities indonesia mitra sun boulevard notaris 12 11 tanjung priok
224422,pt.derma konsep estetika,pt derma konsep estetika ki hajar dewan suka raya
224429,toko oleh- oleh kue khas bugis daerah,toko oleh oleh kue khas bugis daerah 
224433,asinan kamboja,asi kambing kambing 3 notaris 28 rw 11 rawamangun pulo gadung
224437,mtss riyadhus sholihin,paal mtss riyadul sholihin jaian raya nanga pinoh 79612
224454,dokter nany a tohardi,dokter nany a toha cuk kaw 
224457,sd krispa toundanou,sd krisna toundanou touluaan
224459,sacred heart of jesus church,sac heart of jesus church polsek isti tegalsari
224462,pijat refleksi & keluarga black and white,anggrek roslina h 86 pijat refleksi keluarga black and white 
224466,balaaga fotocopy belega,balance fotocopy belawa raya belawa belega
224467,nurlaeli,nurlete desa lend nangka lendang nangka
224482,smas hasyim asya'a ri 2 glagah,smas hasyim asy ri 2 glagah raya glagah 2
224493,maharupa photo studio,maharani photo studio mawar notaris 87 tabanan
224496,warkop burjo boim,pendrikan kidul warung burjo boim imam bon notaris 163 rw 3 50131
224503,mushalla al-huda,musholla al h taman adelia raya 
224529,service jok mobil motor kelana,service jok mobil motor kel pangkas tirta tanjung karang timur
224549,dn elektronik & furniture,dn elektronik furniture ratu diba notaris 34 way kandis tanjung senang
224633,toko bangunan ud mekar sari,toko bang ud mekar sari i gusti ngunan raihan kuta selatan
224641,parlan,parfum pasar minggu
224647,bangunsari,bangun pempek balong balong
224671,anggun furnitur,anggun furn 
224680,barang unik sidoasri - mey freisia,bar unik sidoasri mey freight sidoasri
224696,genduk koffie,gendut koffie raya tlogo masjid 11 tlogomas lowokwaru
224715,betsdata,bets bidar puncak sekumpul lorok pakjo ilir barat i
224724,rm. licanitra,rm licanitra 
224729,pt. dinamika trimitra sejahtera,pt dina trimitra sejahtera aries indah 3 meruya utara
224738,sambal roa manyala,katapang notaris 438 sambel roa manyala tanjung batu wanea
224749,warkop kang sohel 21,sidrap notaris 58 warung kang sohel 21 krian
224752,kios bu dawiah,kios bu dawuan kusuma ban suko rejo lamongan
224758,toko jahit kebaya lia tailor,toko jahit keb lia tailor raya cibogo cikopo
224788,manado televisi nusantara. pt,man televisi nusantara pt pogi pinaesaan
224792,sultra lapulu,sultra laptop 
224807,taman pendidikan al qur'an nurul musthofa,taman pendidikan al qur nurul musthofa banjaran
224841,kendaga store 2,zamrud i notaris 14 kendari store 2
224848,shanidar lumirindo. pt,shanghai lumirindo pt pet selatan 8 8a rw 11 10150 gambir
224862,warteg aziz,warung aziz karet pasar baru 5 tanah abang
224874,warkop kataji,warung kataji raya ciangsana ciangsana
224890,madrasah diniyah al - hidayah,madrasah diniyah al hidayah pancawati
224895,"lapak ayam zuliana mandiri, ruko unggu",damai lapak ayam zuliana mandiri ruko unggu mayor polsek zainal ari 79a rta 31 76114 balikpapan kota
224917,"bidan praktek bd. n. kuswati, am. keb",bidan praktek bd n kuswati am keb pendopo i tambun selatan
224935,toko galon marseno,toko galon mars mutiara taman palembang 
224947,semangat mandiri cemerlang pd,semarang mandiri cemerlang pd banc 
224968,taniri ayam & ikan bakar,tan ayam ikan bakar pulau moyo pedungan
224993,mal pondok indah lantai lg,pondok pinang malang pondok indah lantai lg metro pondok indah rta 1 16 kebayoran lama
225006,navapark marketing galery,navapark marketing galeri nava boulevard lengkong kulon
225008,agen foredi,agen for nusantara 
225043,pesing garden,north kedoya pesona garden kediri ra rta 1 rw 8 kebon jeruk
225096,bengkel las arsidi,bengkel las ars pangkas antasari
225118,gerakan pramuka gugus depan prambon,gerakan pramuka gugus depan pramuka brawijaya wirobiting
225138,smk mutiara cendekia,smk mutiara cendana day luhur
225159,"simpang empat, padangan, bojonegoro.",simpang empang padangpio bojonegoro kh agus salim 
225164,citra bukit perkasa. pt,citra bukit perkasa pt daeng menanti mempawah hilir
225182,balai rw 08 girilaya,balai rw 08 giri giri banyu urip
225212,martabak sedap malam,mart sedap malam raya serang 
225215,inayah baru,ina baru 
225217,innocent,inno letda natuna bojong kulur
225260,dewan pimpinan wilyah himpunan mahasiswa mathlaul anwar,dewan pimpinan wildan himpunan mahasiswa mathlaul anwar raya lab saruni
225264,ruko emerald ave 2,ruko emerald avenue 2 jl boulevard bintang jaya pondok aren
225270,griya busana martha,griya busana market raya tangen 
225282,shinlick superindo pt,daan mogot 88 shin super pt 2 wijaya kesuma
225285,keraton kesultanan palembang darussalam,20 ilir d ii keramik kesultanan palembang darussalam torp 74 kemuning
225288,jaya manunggal abadi. pt,jaya manunggal abadi pt daan mogot kalideres
225292,toko bangunan abadi jaya nusantara,simpang kel notaris 50 toko bang abadi jaya nusantara lubuk lintah
225314,jaya star utama. pt,jaya 23a jaya star utama pt medan kota
225321,rm mari jo makang mjm,rm mari jo makmur mjm kampus sario tumpaan
225342,masjid agung al-araf,masjid agung al a kramat kwitang senen
225356,warkop gallpong coffee shop,warung gallpong coffee shop
225370,teling motor,telkom motor 14 pebr 17 telingsing atas
225372,samsung telesindo shop. pt,pulau irian notaris 321 samsung telesindo shop pt 
225390,empal gentong bu widi,arif rahayu hakim 6 empal genteng bu widi karawang kulon karawang barat
225394,nibugi guest house,nibras guest house peduli nusapenida
225410,rumah rempah sumenep,rumah remaja sumedang kh agus salim 
225451,puskesmas karangmalang-er,puskesmas karangmalang rm sub tjon rw 2 polaman mijen
225452,barong dreadlocks,bar dreadlocks mert 1
225483,visitor information center,visi information center m h thamrin gondangdia
225506,warkop bustamam,simpang pantai labu warung bustamam 
225518,sinar. cv,sin cv 
225519,toko mas muliya,toko masjid mul sunan muria rawamangun
225551,yamaha mataram sakti - kaliangkrik,yamaha mataram sakti kaliangkrik kaliangkrik kaliangkrik
225562,toko hj. musiah,toko hj muslim taklim panggungjati taktakan
225578,pt.ecosif multi kreasi,pt ecosif multi kreasi dasana indah notaris 9
225582,khalifa arta. cv,khalifah arta cv monginsidi 23 makassar
225599,elly collections,elly collection komplek parfum kencana cangkuang
225600,motion ho,motor ho legian 
225627,yemima beauty center,yem beauty center bogow 
225628,jonk java omah jahit kebaya dan gaun,jonk java omah jahit keb dan gaun 
225635,indosurya bank,indosemen bank wr supra kaliwates
225645,njonja roemahkoe,njo roemahkoe siliwangi bantar gebang
225652,apartement sunter icon,apartement sun icon rs ancol sunter agung
225653,aiola eatery,aiola eat slamet 16 4 ketabang genteng
225661,sd kristen penabur bekasi,sd kristen pena bekasi taman mahoni 8 bekasi timur
225673,toko bu rumani,toko bu rumput wonogiri i tegalsari
225674,warung mie ayam dan angsle,warung mie ayam dan anggun semeru senduro
225680,tahura (taman hutan raya),dolat rayat tahzan ta hutan raya 22152 dolat rayat
225698,mahara binapariwara,mahesa binapariwara gading marp bukit raya
225700,warkop blendung jaya,warkop blend jaya kramat benda raya bakti jaya sukmajaya
225720,toko ruslan,toko rus soekarno hatta balikpapan utara
225731,rm. cahaya bundo kandung,rm cahaya bundo kandang p dip kisaran barat kota
225765,pegadaian upc. kedung baruk,pegadaian upc kedung baruk raya kediri asem 59 1 60298
225770,dhopas,dho raya cita jatireja
225777,gereja untung surapati,gereja untung surabaya lintas sumatera kotabumi 
225788,polisi subsektor palmerah,polisi subsektor palm aipda k s tubun petamburan
225800,queen blanket homestore,queen blanket homes sido rejo
225812,ayam pak gembos pangeran jayakarta,ayam pak gembus pangeran jayakarta kartika 5 sawah besar
225827,mustaqim hp am. pd,mustika hp am pd kartika notaris 37
225840,yaris samudera fotocopi,pramuka a 1 yaris samudra fotocopi pemurus luar
225845,simple cafe,simpan cafe tanjung raya
225880,yayasan misi kita bersama (mika),yayasan misi kita bersama mi salemba raya
225881,kober mie setan kaliasem,kober mie setan kali kali dangin puri kauh
225887,canter bay,asia afriza notaris 30 cantik bay rw 1 gelora tanah abang
225892,"kantor advokat ali a. rasyid, sh",pahlawan kantor advokat ali a rasyid sh kolombo h barl 
225902,berkat buah pusat parcel,berkah buah pusat parcel suryake 
225904,finers steak restaurant,finish steak restaurant kh abdullah syafiie 
225906,painem salon spa dan eyelash extention,paiton salon spa dan eyelash extention pangkas 4 notaris 268 jetis
225944,atm mandiri drive thru banjarmasin r. soeprapto,atm mandiri drive thru banjar r soeprapto let r suprapti antasan besar
226012,"komplek ruko king park, auto pro salon & detailing coating",cipta karya sidomulyo barat komplek ruko king park auto pro salon detailing coating tampan
226027,toko pupuk pasar munjul,toko pupuk pasar muncul raya picung munjul
226057,kursus music,kurnia music raya cinu cibiru wetan
226059,trigana air service. pt,trigada air service pt 
226070,atlantik ocean paint,atlantic ocean paint rw 9
226080,pt. h2o-internasional,pt h2o intern suryo pranata petojo utara
226102,bank jateng wanadadi,bank jateng wana kentang kenteng madukara
226106,adidas grand indonesia,menteng adi grand indonesia teluk betawi menteng
226122,suparyan,suparman kediri bantuan 
226130,jaya cellular,jaya cell lintas timur 
226135,laundry b.murri,laundry b mu 
226138,rivals shuttlecocks,rivals shuttle hang tuah tegal sari
226147,nipah creeps urang handil,nipah creeps urang han muara jawa pesisir muara jawa
226152,siswo suharto,siswo suhardi godong notaris 20 godean
226159,sate jongke,sate jon villa taman anggrek sendangadi
226174,warteg cahyani,warteg cahyadi arief rakyat hakim mampang
226200,tidung sauna terapi uap rempah rempah,tidung sauna terang uap remaja remaja perumahan adiyanti cikasungka
226201,ayam bebek ungkep mbok wedhok,ayam bebek unggul mbok wedang tentrem pelangi 
226210,hipro variasi...,hipro variasi sandubaya bertais sandubaya sandujaya 
226225,deraya photography,raden fat notaris 24 der photography 
226231,depot farell qua,depot farida qua mande 
226235,sukirdi,suki malangjiwan colomadu
226246,ayam goreng pejantan,ayam goreng pejagan kano pekalipan
226247,centra byzantium fc-9 perumahan legenda wisata,nagrak center byzantium fc 9 perumahan legenda wisata legenda wisata boulevard 9 16967 gunung putri
226248,lembaga kursus dan pelatihan kiberta,lembaga kurnia dan pelatihan kiberta dot lasut wenang
226251,elzatta,elza k h abdullah bin nuh sawah gede
226269,linuxs net,lintas net tinu i
226271,pt srikandi diamond indah motors - lamongan,pangkas sudirman pt srikandi diamond indah motor lamongan rejo sari
226275,bowloxa cell,bowl cell sun indra
226281,chikensayam,chiken pisangan baru selatan pisangan baru
226296,sd negeri malaka jaya 11 pagi,sd negeri malang jaya 11 pagi nusa indah iv duren sawit
226314,agen bus po shantika,agen busana po shanghai raya pati notaris 138 wedarijaksa
226331,kedai kopi phoenam,kedai kopi phoenix pele indah 1 kelapa gading timur
226340,warung kopi dan nasi kuning sulawesi narasa,warung kopi dan nasi kuning sulawesi nar sawo jajar i krobokan
226362,warung makan cak panggih,warung makan cak pangkas mayj bambang yuwono
226374,kedai makan le kudede,kedai makan le kud ahmad yani 
226384,praktek h iwan nurwinar,praktek h iwan nurwati jl cilacap iv singajaya
226397,madrasah ibtidaiyah swasta (mis) cikurawet,madrasah ibtidaiyah swasta mis cikurawet gunung tanjung
226409,bidarni,bidadari
226420,smk nu-bp az zahra godong,smk nu bp az zahra godong pangkas puger grobogan
226422,resto den'baguse,resto dental ba mang catur tunggal
226456,taman pendidikan al qur'an al madinah al munawaroh,taman pendidikan al qur an al madinah al munawaroh lebaksiu
226462,"the restaurant at the legian seminyak, bali",the restaurant at the legian seminyak bali kayu aya seminyak kuta
226463,bengkel vw mas ibeng,griya mutiara asri bengkel vw masjid ibeng sindangmulya cibarusah
226464,sandhy cell,sandal cell 
226491,chidir p. cv,chi p cv lam bontoala
226492,delicia,deli laksmi doko oebobo oebobo
226497,raffels sandwich,raffels sandang botan garden 3
226503,warkop ngarepe sma 7 malang,warung ngaring sma 7 malang cengger ayam lowokwaru
226520,warung mie ayam &bakso tri bakso wonogiri,warung mie ayam bakso tri bakso wonogiri karantina gedang rejo
226522,bengkel sepeda mas mahmud,bengkel sepeda masjid mahesa pasundan sindang maja
226527,mal ciputra,malang ciputra kec semarang tengah
226545,duta indah residence  grand duta tangerang,duta indah residence grand duta tangerang raya grand duta tangerang gebang raya sangiang jaya periuk
226548,majlis dzikir taufiqurrahman,majlis dzikri taufiqurrahman tunjungan
226552,masjid al-hidayah,masjid al hidayah 
226563,pt. bahtera jaya persada,pt bahtera jaya persada soekarno hatta buahbatu margacinta 
226568,optik lancar,optik lantai gajah mada tanjung karang timur
226593,suzuki wonokoyo,suzuki wonogiri raya babat babat babat
226594,sd n 13 sungai tarab,sd n 13 sun tarab padang laweh
226629,site sungai medang,site sun medang pangkalan kuras
226652,tb. firdaus,tb firdaus brunorejo
226665,bu rita dinkes,bu rita dinamo bendilwungu sumbergempol
226699,gereja katholik st yoseph,gereja katholik st yos
226707,"drs. thomas, blasus, widartoyo & rekan",matrial raya 81 drs thomas blaster widartoyo rekan rw 5 palapa meriem
226710,majelis taklim (mt) al munawwarah,majelis taklim mt al munawwarah lubuk basung lubuk basung
226711,menari ballet academy,surya mandiri 1 notaris 9a menara ballet academy rta 11 rw 5
226725,makam tengku lambei gajah,makam tengah lam gajah teunom
226734,praktek dokter yuli syafitri,praktek dokter yuli syaf t amir ham 
226748,"sadar karya putra, tb.",sadar karya putera tb rowokele
226751,satupakbrsihom. ud,mawar notaris 5 satupakbrsihom ud sari rejo
226752,warkop indah mawar,warung indah mawar sidakaton
226759,pondok pesantren putri ath-thohiriyah,pondok pesantren putri athfal thohiriyah
226769,pasar batanghari,pasar batang jl ahmad nasution nampi rejo metro kibang
226779,warung kabogoh,warung kabongan banguntapan
226789,ketinx,keting kartika 6 notaris 37 jebres
226801,smkn wongsorejo,smkn wongso desa sumberk notaris 17 wongsorejo wongsorejo
226852,ruko cileduk mas,ruko cilegon masjid h o s cokro notaris 1 sudimara timur
226899,djanoers cell,kali timur notaris 55 djantima cell harapan mulya
226908,jambul laundry,jam laundry jam lama
226926,pusat latihan atlet biliard buleleng,pusat latihan atlet bili buleleng penataran 8 
226962,peak footwear outlet,peakwine footwear outlet mulyorejo
227000,pelabuhan perikanan lawadia,pelabuhan perikanan lawasan kaya latambaga
227018,jualan herbal dan upvc conceh,jualan herbal dan upvc condet 
227033,nurayya express,nura express cokro 
227035,larisya parfume,larissa parfume kaharu nasution siak hulu
227039,pasang iklan gratis,pasang iklan gracia raya cilegok 
227051,multi structure construction engineering. cv,multi structure construction engineering cv mayora d i panjaitan sumber rejo
227064,harmas cv,har cv hiliuso kampung pondok
227079,dinas komunikasi dan informatika kab. ngawi,dinas komunikasi dan informatika kab ngawi teuku umar ngawi
227099,lapangan serba guna centong,lapangan serba guna central raya centong bawang pesantren
227102,bumi prayudan magelang tennis court,bumi prayogo magelang tennis court
227114,masjid jami al-ikhlas,masjid jami al ikhlas albert notaris d12 8
227127,pusat pelayanan kesehatan mata dan gigi,sungai jawi pusat pelayanan kesehatan mataram dan gigi prof dr hamka 1 78112 pontianak kota
227136,perum.rapak binuang indah,sempaja utara perum rapak binu indah pm noor 9 samarinda utara
227138,toko senapan angin,toko sena angin semarang kampung tengah
227151,sanggar tari bali dwipayana,sanggar tari bali dwipa bukit agave jonggol
227153,travelogue,travel cas 33 5 tebet
227176,j&t express,j t express ban sari selatan tembalang tembalang
227181,pt pelayaran tonasa lines,pt pelayanan tonasa lines laiya iii 
227218,warung ibu nuning,warung ibu nunung kel dua
227242,burger king,burung king
227267,primus cv,gading notaris 48 prima cv rw 1 sungai bambu
227287,belakang polsek buaran,belajar polsek bua gang 6b pringlangu pekalongan barat
227288,ud. aditya eka,ud adi eka kapuk raya 244 rta 2 12 cengkareng
227300,ud.bun uong pin,ud uong pinang parfum
227318,anoriz celluler,anoriz cell lumbudolo utara raya bojong rawalumbu rawalumbu
227343,inasti,ina kasoem kulon kasomalang
227350,nasi campur kantin masjid sabilillah,nasi campur kantor masjid sabilillah candi jago notaris 2 blimbing
227356,barkah's villa,jagakarsa barkah villa kecapi 5 notaris 2 5 12620 jagakarsa
227358,pendidikan islam al munawwar,pendidikan islam al munawir pempek
227359,quiznos menteng,quiznos mentari h o s cokroaminoto menteng
227368,postal office and cargo area,pos office and cargo area blambangan kuta kuta
227385,makloon cetakan,makloon cetarrr kapuk cengkareng notaris b 68 rta 2 rw 11 cengkareng timur
227403,kartono,kartika setia budi krian
227407,gapura the radical,gapura the radiator buk lembang
227468,salon larizze matrix,salon larizze mat kota bambu selatan ii palmerah
227472,pesantren islamiyah napabarbaran,pesantren islam napabarbaran 
227473,ahli jas mustika yadi,ahli jasuke mustika yadi jenderal gatot subroto 
227478,simpang teritit kel.,simpang teri kel 
227493,zona cincau,zona cinere merak semarang utara
227535,griya cantik kusumadia,griya cantik kusumatex mliwis manguharjo
227544,dewi salon mulyorejo residence,dewi salon mulyo residence mulyo residence mulyo rejo sukun
227586,ddhe makeup dan beauty,ddhe makmur dan beauty demulih susut
227594,stupid chicken,studio chicken jenderal ahmad yani ketintang gayungan
227597,pabrik batako ppj,pabrik batang ppj cipeundeuy
227601,tat busana ridu,tattoo busana ridu komplek permata permai 70654
227605,aula pgri cabang kec cibago,aula pgri cabang kec cibogo raya cikamu
227612,bacheno sport,bachtiar sport alun alun timur notaris 80 menes
227643,toko cemong,toko cemara karaga
227701,excellent karunia abadi. pt,excellent karunia abadi pt pirn 
227713,alfamrt q030 mgtg mang,alfamart q030 mgtg mang man negara
227722,fotokopi,foto raya rakit karanggedang
227739,sri wahyuningsih,sri wahyuni kaliangkrik kaliangkrik
227742,mr basker,mr basuki permai notaris 1
227762,sd negeri 3 pagaralam,sd negeri 3 pagar pasar nendagung pagar alam selatan
227774,ksp anugerah,ksp anugrah raya karang leksana karangkobar
227776,haidar cell,haikal cell bona raya 
227798,musholla rahmat,musholla rahayu pramuka simo
227809,otokits majenang,otokits majelis bhakti
227823,pt bangun niaga gemilang,pt ban niaga gemilang sektor xvi sudimara jaya ciledug
227834,laut baru pelayaran. pt,laut baru pelayaran pt karet 
227835,classeika parfume,class parfume mauni bangsal
227841,rafaris computer,rafa computer bendungan lahor selo rejo
227866,larang jaya aluminium,larisa jaya aluminium gela iii cempaka permai gading cempaka
227885,masjid baitun nur,masjid baitul nur 66229
227925,waroeng mama andien,waroeng mama and sunan kali jaga x pedurungan
227931,golden river konveksi pabrik seragam kerja olah raga,golden river konveksi pabrik seragam kerja olahraga raga rer wulung sukaluyu
227949,satgas linmas desa klayan,satria linmas desa klayan raya sunan gunung jati klayan
227958,masjid muhammadyah kedung sari,masjid muhammadyah kediri sari raya man 
227976,purwasari 2,raya jati purwa 2 
227977,"i kt resika muda k., sh",i kt resort muda k sh dawuan cakranegara
227980,samsat keliling,sambel kelinci tambal tambak sari tambaksari
228003,rahmawati,rahma raya karaoke sindangpalay karangpawitan
228006,raudhatul athfal (ra) nur hidayah,raudhatul athfal ra nur hidayah
228038,tosaka coffee sabang,tos coffee sablon teuku umar 
228041,pt. mahkota jaya sentosa,pt mahkota jaya sentosa gajah mada gambir
228056,rm palapa perima,rm palapa permai raya palembang sukamoro
228057,waroeng ss spesial sambal,waroeng ss spesial sambel durian selatan srondol wetan
228058,qisthi press,qis press merapi utara meruya utara kembangan
228065,mi fans majenang,mi fans majelis majenang
228072,cipaganti cipta graha. pt,cipaganti cipta graha pt soekarno hatta
228097,"monika melanny, sh",monika melawai sh anda parang layang bontoala
228099,intiperdana grafindo,intiperdana grafika tero raya
228128,warkop mario padaidi,warung mario padaidi prof dr h b jasuke kota tengah
228140,lancar jaya toko,lantai jaya toko usman jana 
228144,soundlife hearing center,sound hearing center rw 6
228152,mailah,mainan desa batu jang praya barat daya
228153,kost wahyu dan rahmad,kost wahyu dan rahayu joyosuran
228162,xtrans travel,xtreme travel jenderal gatot subroto
228199,batiqa hotel pekanbaru,batang hotel pekanbaru kaharu nasution simpang tiga bukit raya
228211,majlis ta'lim miftahul 'afiah,majlis ta miftahul afiah anyar
228228,puteri medika. cv,kampung baru puteri medical cv cut mutia notaris 32
228278,sahabat athaya,sahabat athfal bina warga poci cipayung
228287,praktek dr. sriwijayani,kolaka wahid udin praktek dr sriwijayani 
228291,mahalini villas,maharani villas bali deli
228355,ayam goreng sop sapi dan icejuice terima catering,ayam goreng sop sapi dan icejuice terang catering cisaat
228366,warung bu alipah,warung bu ali arjosari rejoso
228368,kharisma1301 company,kharisma1301 computer tawes tanjung priuk
228380,onderdil motor bpk.karso,onderdil motor bpk k raya bogor pasar rebo
228392,warkop fanny,warung fanny 
228399,anaria wedding,ana wedding kranggan 
228411,warteg putra bahari,warung putra bahari kin pondok kacang barat pondok aren
228419,bahana sukasari bahana,bahari sukasari bahari kh muhammad sodig tegal sari
228420,pasar sentral pangkajene,pangkajene pasar sentosa pangkajene jl pasar sentosa pantai pangkajene
228449,pasar desa sikanco,pasar desa sikapak jenderal sudirman sikanco
228458,warung seafood mas gondrong,warung seafood masjid gondrong adiyanti raya kujangsari
228485,bubur ayam dan me-pao hapita,bubur ayam dan me hap terusan perintis sarijadi sukasari
228492,kantor notaris anisah sh,kantor notaris ani sh bekasi raya ujung menteng
228544,law office syamsul arif & partners,interior plaza blok c a 7 law office syamsul arif partners 10 srengseng kembangan
228585,tk kartini wangunrejo,tk kartika wangunrejo turi
228587,sekretariat partai garuda dpc kota bontang,sekretariat partai garden dpc kota bontang tanjung laut indah bontang utara
228594,musholla at-taqwa,musholla at t 
228595,toko mas teranusuka,toko masjid teranusuka baturaja timur
228599,unitras indonesia utama pt,unit indonesia utama pt citra batam teluk tering batam kota
228613,masjid al-aqsho,masjid al aqsho
228646,perumahan taman melati indah,jl melati indah 3 duren mekar perum taman melati indah bojongsari
228651,sinar abadi ruko pondok sukma.,sinar abadi ruko pondok sukses pondok sukma permai sukma jaya sukmajaya
228681,cikarang sel.,cikarang selera cikarang selatan ciantra cikarang selatan
228697,taman pendidikan al-qur'an tpa baitur rahman,taman pendidikan al qur an tpa baitul rahayu mentari wadas selatan
228720,pt. bank perkreditan rakyat bpr x koto singkarak,pt bank perkreditan rakyat bpr x koto singkarak kubu kerambil kota solok 
228723,tpu desa bandar,tpu desa ban kh wacana hasyim bandar lor
228766,pt. pelangi pandunusa,pt pelangi pandu cempaka notaris 6a rw 12 rawabadak utara
228768,delice bakery & cake,curug cempaka b 3 del bakery cake
228777,pasar timbul barat,pasar timbel barat tomang tinggi grogol petamburan
228804,helihan toys,heli toys malang raya malaka sari duren sawit
228806,seva - asisten rumah tangga anda,seva asisten rumah tan anda tebet timur 1 h 
228807,bps bi dan delima hj suniah,tama notaris 10 bps bi dan del hj suniah
228833,jackal holidays shuttle - kiaracondong,jacket holidays shuttle kiaracondong kiaracondong
228838,service kompor lpg & regulator,service komang lpg regulator mey sungkono
228858,cimahpar kel.,cimanggu kel tumeng wira cimahpar bogor utara kota
228863,masjid jami' raudhatus shalihin,masjid jami raudhatus shalihin desa cemara taman sari
228877,kuskus,kusuma tarogong kidul
228905,kursus cinta anak bangsa (kcab),kurnia cinta anak bangsa kc duri permai buntu kebon jeruk
228917,keramic indah jaya,pandanaran keramik indah jaya paseban bayat
228920,oakwood suites la maison jakarta,oakwood suites la mainan jakarta bar ii kramat pelangi
228928,pamelati raya pt,pamenang raya pt ahmad yani 
228969,pasar pon sawahan,pasar pondok sawahan niaga sawahan mojosari
229050,masjid al-haq,masjid al dempo utara
229060,masjid baitul mu'minin,raya sukanagara masjid baitul mu minin 
229067,kios santan asli,kios sandal asli petapahan jaya
229070,sumarwi,sumatera hamid rusdi 3 23 bunulrejo blimbing
229083,jembatan baringeng,jembatan barin panaikang sinjai timur
229115,warkop,warung kapuas kasinem plandaan
229118,phing-phing stylist,phing phing stylista komplek ruko servis masjid batu ampar
229135,warung bakso pak watimin,warung bakso pak wati jatiluhur 
229138,badan pusat statistik kota palopo,badan pusat statistik kota palapa teungoh daud beureum kota baru
229142,spesialis penyakit dalam dokter diah rahmah sp pd,spesialis penyetan dalam dokter diah rahmah sp pd raya lembaga 418
229156,kompleks terminal siantan indah,kompleks terminal siantar indah gst situt mahesa 78243 pontianak utara
229158,"notaris dela evaharisa, s.h, m.kn",notaris delapan evaharisa s h m kn danau keripik 
229170,j hotels kuta,raya kuta notaris 88 j hot kuta
229172,panti asuhan harapan bangsa,panti asuhan harapan ban 
229176,sarinah cell,sari cell jenderal sudirman binjai kota
229183,universitas gadjah mada,sekip utara sinduadi universitas gading mada mlati
229196,karyawangi kel.,raya salopa ma karyawangi kel karyawangi
229223,tk riaydlun najjah,tk riayatul najjah 
229228,lab. klinik prodia cab. denpasar,lab klinik prodia cabang denpasar diponegoro 192 dauh puri klod denpasar barat
229276,masjid baitus sajidin,masjid baitul sajidin
229299,kedai sembako rahmat alifiah,kedai sembako rahayu alifiah jl perum tiban bertu sekupang
229309,bank danamon indonesia pt tbk,bank dana indonesia pt tbk kawis 59218 rembang
229311,dinas pu barito utara,dinas pu bar utara 
229338,cafe gio&fio,cafe gio daeng tata 1
229345,toko buku semoga berkah,perintis kembar notaris 79d toko buku semeru berkah aur tajungkang tengah saw
229347,global media nusantara. pt,global media nusantara pt antasari antapani kulon antapani cicadas 
229362,nasi kari aladin,nasi karisma ala kusuma 4 wijaya kesuma
229385,lapangan simpasai,lapangan simpang lintas dompu bima simpasai
229388,andrez collection,lasan notaris 91 and collection 
229395,omahkain dan butik omahkain,omah dan butik omah raya pati trangkil
229431,bank danamon simpan pinjam,jenderal sudirman bank dana simpan pinjam tanjung gading
229433,borneo lestari tours dan travel. pt,borneo lestari tours dan travel pt
229441,ananda rifan. cv,ana rifan cv prof abdurosid basal panakkukang
229444,jagger barbershop,jagung barbershop wibowo mukti 2 jatiasih jatiasih
229459,rm. putra kembar,rm putra kembar poros kendari 
229460,retoran igc - ikan goreng cianjur,retoran igc ikan goreng cianjur w j laluna 
229473,makam wali nyato',makam wali nyaman pujut
229475,rm. vegetarian,rm vegetarian kemang ilir iii kemanggisan
229489,rm. mandailing,rm mandai grand kahuripan 
229495,md irsyadun najia,md irsyadat najia 
229496,pt.eksis banget indonesia,pt eksis banget indonesia bona vista raya cilandak
